Model,Precision,Recall,F1-Score,Accuracy,Fraud_Performance_Score
LogisticRegression,0.07071425396684297,0.7417249417249417,0.129118649569875,0.9613797620739978,0.40621959784589234
DecisionTree,0.797432239657632,0.7818181818181819,0.78954802259887,0.9983912732873989,0.7896252107379069
RandomForest,0.9512485136741974,0.745920745920746,0.8361640972040763,0.9988717319364643,0.8485846297974717
XGBoost,0.4051334702258727,0.9198135198135198,0.5625089094796863,0.994477424741641,0.6624734950196962
